carrera,institucion,acreditada_desde,acreditada_hasta,enlace,documento_acreditador,Acreditación institución
"Diseño de Vesturaio, Moldaje y Confección",CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño Gráfico Computacional,CFT ICEL,-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño Gráfico Computacional,CFT ICEL,-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño y Producción Gráfica,CFT INACAP,2014,2019,http://www.inacap.cl/web/acreditacion/ReposicionN65-Diseno-Prod-Grafica.pdf,Acuerdo,
Diseño Web & Mobile,CFT INACAP,-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño y Producción Gráfica,CFT INACAP,2014,2019,http://www.inacap.cl/web/acreditacion/ReposicionN65-Diseno-Prod-Grafica.pdf,Acuerdo,
Diseño Gráfico,IP AIEP,2015,2020,http://www.acreditadoradechile.cl/wp-content/uploads/2016/03/Acuerdo-N%C2%BA404.pdf,Acuerdo,
Diseño de Vestuario Profesional Mención Alta Costura,IP AIEP,2013,2018,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA231-Dise%C3%B1o-de-Vestuario-AIEP.pdf,Acuerdo,
Diseño Gráfico Profesional,IP AIEP,2015,2020,http://www.acreditadoradechile.cl/wp-content/uploads/2016/03/Acuerdo-N%C2%BA404.pdf,Acuerdo,
Diseño,IP DE CHILE,-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño Gráfico,IP DUOC UC,2011,2017,https://www.cnachile.cl/res/preg/RES-PREG-01064-01.pdf,Acuerdo,
Diseño de Vestuario,IP DUOC UC,2010,2017,http://www.acreditadoradechile.cl/wp-content/uploads/2011/11/Acuerdo_N%b051_Diseno_de_Vestuario_DUOC.pdf,Acuerdo,
Diseño de Ambiente,IP DUOC UC,2017,2023,http://www.acreditadoradechile.cl/wp-content/uploads/2017/03/Acuerdo-N%C2%BA520.pdf,Acuerdo,
Diseño de Ambiente,IP DUOC UC,2017,2023,http://www.acreditadoradechile.cl/wp-content/uploads/2017/03/Acuerdo-N%C2%BA520.pdf,Acuerdo,
Diseño Gráfico,IP DUOC UC,2011,2017,https://www.cnachile.cl/res/preg/RES-PREG-01064-01.pdf,Acuerdo,
Diseño Industrial,IP DUOC UC,2017,2023,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA222-Dise%C3%B1o-Industrial-DUOC.pdf,Acuerdo,
Diseño Gráfico,IP DUOC UC,2011,2017,https://www.cnachile.cl/res/preg/RES-PREG-01064-01.pdf,Acuerdo,
Diseño de Moda,IP INACAP,2016,2022,http://www.inacap.cl/web/acreditacion/Reposicion-N103-Diseno-de-Moda.pdf,Acuerdo,
Diseño Gráfico Profesional,IP INACAP,2014,2020,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo,
Diseño Gráfico Profesional,IP INACAP,2014,2020,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo,
Diseño Gráfico Profesional,IP INACAP,2014,2020,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo,
Diseño Gráfico Profesional,IP INACAP,2014,2020,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo,
Diseño Gráfico Profesional,IP INACAP,2014,2020,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo,
Diseño de Moda,IP INACAP,2016,2022,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo,
Diseño Gráfico Profesional,IP INACAP,2014,2020,http://www.inacap.cl/web/acreditacion/Diseno-Grafico-Profesional.pdf,Acuerdo,
