carrera,institucion,direccion,pagina_web,telefono
Diseño,IP DE CHILE,"Av. República 285, Santiago, Región Metropolitana, Chile",http://www.ipchile.cl/carreras/diseno,+56 2 27224800
Diseño,UNIVERSIDAD ADOLFO IBAÑEZ,"Diagonal Las Torres 2640, Penalolen, Peñalolén, Región Metropolitana, Chile",http://www.uai.cl/carreras/diseno,+56 2 23311000
Diseño,UNIVERSIDAD CATÓLICA,"El Comendador 1916, Providencia, Región Metropolitana, Chile",http://diseno.uc.cl/,+56 2 23545534
Diseño,UNIVERSIDAD DE TALCA,"2 Nte. 685, Talca, VII Región, Chile",http://admision.utalca.cl/carreras/diseno.html, +56 800710071
Diseño,UNIVERSIDAD DEL DESARROLLO,"La Plaza Nte, Penalolen, Peñalolén, Región Metropolitana, Chile",http://diseno.udd.cl/, +56 2 23279110
Diseño,UNIVERSIDAD DEL DESARROLLO,"Ainavillo 456, Concepción, Región del Bío Bío, Chile",http://diseno.udd.cl/carrera/diseno/equipo/concepcion/,+56 41 2268610
Diseño,UNIVERSIDAD DIEGO PORTALES,"Av. República 180, Santiago, Región Metropolitana, Chile",http://diseno.udp.cl/,+56 2 26762000
Diseño,UNIVERSIDAD FINIS TERRAE,"Av. Pedro de Valdivia 1224, Providencia, Región Metropolitana, Chile",http://fad.uft.cl/escuela-de-diseno,+56 2 24207390  -  +56 2 24207647
Diseño (NN),UACH,"Independencia 641, Valdivia, Región de los Ríos, Chile",https://www.uach.cl/,+56 63 2221500
"Diseño Crossmedia en Gráfica, Web y Video Digital",UNIVERSIDAD GABRIELA MISTRAL,"Av. Ricardo Lyon 1177, Providencia, Región Metropolitana, Chile",http://www.ugm.cl/dcm/carrera/perfil/,+56 2 24144564
Diseño de Ambiente,IP DUOC UC,"España 8, Santiago, Región Metropolitana, Chile",http://www.duoc.cl/carrera/diseno-de-ambientes,+56 2 29993862
Diseño de Ambiente,IP DUOC UC,"Camino El Alba 12881, Las Condes, Región Metropolitana, Chile",http://www.duoc.cl/carrera/diseno-de-ambientes,+56 2 2999 3862
Diseño de Imagen Especialidad Moda,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION","Av. Salvador 1200, Providencia, Región Metropolitana, Chile",http://www.uniacc.cl/diseno-grafico-diurno/,+56 2 26406151
Diseño de Interiores,UNIVERSIDAD DEL PACIFICO,"Av. Las Condes 11121, Las Condes, Región Metropolitana, Chile",http://web.upacifico.cl/noticias/categoria/carreras/diseno-de-interiores/,+56 2 28625315
Diseño de Juegos Digitales,UNIVERSIDAD ANDRES BELLO,"Fernández Concha 700, Las Condes, Región Metropolitana, Chile",https://campuscreativo.cl/carreras/diseno-de-juegos-digitales/,+56 2 26618681
Diseño de Moda,IP INACAP,"Francisco de Aguirre 389, La Serena, Región de Coquimbo, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,+56 800202520
Diseño de Moda,IP INACAP,"Apoquindo Ote. 7282, Las Condes, Región Metropolitana, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,+56 800202520
Diseño de Moda,IP INACAP,"Luis Durand 2150, Temuco, IX Región, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,+56 800202520
Diseño de Vestuario,IP DUOC UC,"Camino El Alba 12881, Las Condes, Región Metropolitana, Chile",http://www.duoc.cl/carrera/diseno-de-vestuario,+56 2 29993862
Diseño de Vestuario Profesional Mención Alta Costura,IP AIEP,"Triana 820, Providencia, Región Metropolitana, Chile",http://admision.aiep.cl/carreras-tecnicas/tecnico-en-diseno-de-vestuario/,+56 6004501500
Diseño de Vestuario y Textil,UNIVERSIDAD ANDRES BELLO,"Av. Las Condes 11121, Las Condes, Región Metropolitana, Chile",http://www.unab.cl/admision/carreras/diseno-vestuario-textil/,+56 800228622
"Diseño de Vesturaio, Moldaje y Confección",CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,"Santo Domingo 1083, Santiago, Región Metropolitana, Chile",http://www.paulinadiard.cl/,+56 2 26980449
Diseño en Comunicación Visual,UNIVERSIDAD TECNOLOGICA METROPOLITANA,"Dieciocho 161, Santiago, Región Metropolitana, Chile",http://repositorio.utem.cl/handle/30081993/113,+56 2 2787500
Diseño Gráfico,IP AIEP,"Abdón Cifuentes 115, San Felipe, Región de Valparaíso, Chile",http://www.aiep.cl/carrera/diseno-grafico/43/,+56 6005855050
Diseño Gráfico,IP AIEP,"Av. Ejército Libertador 49, Santiago, Región Metropolitana, Chile",http://www.aiep.cl/carrera/diseno-grafico/43/,+56 6005855050
Diseño Gráfico,IP AIEP,"Triana 820, Providencia, Región Metropolitana, Chile",http://www.aiep.cl/carrera/diseno-grafico/43/,+56 6005855050
Diseño Gráfico,IP AIEP,"Cuevas 70, Rancagua, VI Región, Chile",http://www.aiep.cl/carrera/diseno-grafico/43/,+56 6005855050
Diseño Gráfico,IP AIEP,"Barros Arana 302, Concepción, Región del Bío Bío, Chile",http://www.aiep.cl/carrera/diseno-grafico/43/,+56 6005855050
Diseño Gráfico,IP DUOC UC,"Álvarez 2330, Viña del Mar, Región de Valparaíso, Chile",http://www.duoc.cl/carrera/diseno-grafico,+56 2 29993862
Diseño Gráfico,IP DUOC UC,"Camino El Alba 12881, Las Condes, Región Metropolitana, Chile",http://www.duoc.cl/carrera/diseno-grafico,+56 2 29993862
Diseño Gráfico,IP DUOC UC,"Av. Vicuña Mackenna Ote. 7110, La Florida, Región Metropolitana, Chile",http://www.duoc.cl/carrera/diseno-grafico,+56 2 29993862
Diseño Gráfico,IP DUOC UC,"Av. Américo Vespucio 1501, Los Cerrillos, Cerrillos, Región Metropolitana, Chile",http://www.duoc.cl/carrera/diseno-grafico,+56 2 29993862
Diseño Gráfico,IP DUOC UC,"Paicaví 3280, Concepción, Región del Bío Bío, Chile",http://www.duoc.cl/carrera/diseno-grafico,+56 2 29993862
Diseño Gráfico,IP SANTO TOMAS,"Ruta 5 Norte 1068, La Serena, Región de Coquimbo, Chile",http://ipcft.santotomas.cl/carreras/diseno-grafico/,+56 6004444444
Diseño Gráfico,IP SANTO TOMAS,"Vicuña Mackenna 4835, San Joaquín, Región Metropolitana, Chile",http://ipcft.santotomas.cl/carreras/diseno-grafico/,+56 6004444444
Diseño Gráfico,IP SANTO TOMAS,"Carlos Schorr 255, Talca, VII Región, Chile",http://ipcft.santotomas.cl/carreras/diseno-grafico/,+56 6004444444
Diseño Gráfico,IP SANTO TOMAS,"Arturo Prat 879, Concepción, Región del Bío Bío, Chile",http://ipcft.santotomas.cl/carreras/diseno-grafico/,+56 6004444444
Diseño Gráfico,IP SANTO TOMAS,"Av. Ramón Picarte 1160, Valdivia, Región de los Ríos, Chile",http://ipcft.santotomas.cl/carreras/diseno-grafico/,+56 6004444444
Diseño Gráfico,IP SANTO TOMAS,"Buena Vecindad, Puerto Montt, X Región, Chile",http://ipcft.santotomas.cl/carreras/diseno-grafico/,+56 6004444444
Diseño Gráfico,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,"Brasil 2950, Valparaíso, Región de Valparaíso, Chile",http://www.pucv.cl/pucv/pregrado/diseno-grafico/2015-06-08/161054.html,+56 32 2274411
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,"Quillota 980, Viña del Mar, Región de Valparaíso, Chile",http://www.unab.cl/admision/carreras/diseno-grafico/,+56 800220333
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,"Av. Las Condes 11121, Las Condes, Región Metropolitana, Chile",http://www.unab.cl/admision/carreras/diseno-grafico/,+56 800220333
